train_loss, test_loss
1.3740, 0.9713
0.8422, 0.7734
0.7148, 0.6935
0.6524, 0.6470
0.6125, 0.6151
0.5837, 0.5913
0.5616, 0.5730
0.5440, 0.5584
0.5298, 0.5465
0.5179, 0.5366
0.5078, 0.5282
0.4991, 0.5209
0.4914, 0.5145
0.4846, 0.5088
0.4785, 0.5036
0.4730, 0.4989
0.4679, 0.4947
0.4633, 0.4907
0.4590, 0.4871
0.4550, 0.4837
0.4513, 0.4805
0.4478, 0.4775
0.4445, 0.4747
0.4414, 0.4721
0.4384, 0.4696
0.4356, 0.4672
0.4330, 0.4649
0.4304, 0.4627
0.4280, 0.4607
0.4257, 0.4587
0.4235, 0.4568
0.4213, 0.4550
0.4192, 0.4532
0.4173, 0.4515
0.4153, 0.4499
0.4135, 0.4483
0.4117, 0.4468
0.4099, 0.4453
0.4082, 0.4439
0.4066, 0.4425
0.4050, 0.4411
0.4034, 0.4398
0.4019, 0.4385
0.4004, 0.4373
0.3989, 0.4361
0.3975, 0.4349
0.3961, 0.4337
0.3948, 0.4326
0.3935, 0.4315
0.3922, 0.4304
